subject	date	maze	trialNo	optimal_steps	steps_in_tree	steps	decisions	opt_decisions	path	times
S10324374	14/September/2018	easy/easy_cost36.txt	4	17	17	19	2	2	p(4,3);p(3,3);p(2,3);p(2,2);p(1,2);p(2,2);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(5,1);p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(8,2);p(8,3);	4556;552;504;1264;1376;440;433;1296;663;480;456;472;480;489;472;519;817;799;
S10324374	14/September/2018	easy/easy_rw26.txt	5	3	3	7	1	1	p(3,1);p(3,2);p(2,2);p(1,2);p(1,3);p(1,4);p(0,4);	5589;623;456;1104;768;400;
S10324374	14/September/2018	easy/easy_rw29.txt	6	6	6	8	1	1	p(4,1);p(5,1);p(5,2);p(5,3);p(6,3);p(7,3);p(7,2);p(8,2);	5620;536;456;408;415;857;821;
S10324374	14/September/2018	easy/easy_cost14.txt	7	2	2	5	1	1	p(2,1);p(2,2);p(1,2);p(1,3);p(1,4);	1964;415;639;537;
S10324374	14/September/2018	medium/differentsizes.txt	8	7	7	9	3	3	p(4,1);p(3,1);p(2,1);p(3,1);p(4,1);p(5,1);p(6,1);p(6,2);p(7,2);	10356;567;1848;376;368;392;399;736;
S10324374	14/September/2018	medium/labyrinth.txt	9	6	8	12	2	1	p(2,0);p(2,1);p(2,2);p(1,2);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(3,4);p(4,4);p(5,4);	4681;623;671;625;1032;384;440;455;729;480;424;
S10324374	14/September/2018	medium/tube_cost.txt	10	12	15	17	5	2	p(8,3);p(7,3);p(7,2);p(7,1);p(7,2);p(7,3);p(6,3);p(5,3);p(5,4);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(3,2);p(3,1);p(4,1);	3410;3217;503;1217;360;511;441;600;792;664;552;640;495;609;640;1320;
S10324374	14/September/2018	medium/courtyardalt.txt	11	6	6	8	2	2	p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(4,1);p(4,2);p(3,2);	3088;496;496;560;1120;584;1120;
S10324374	14/September/2018	hard/tradeoff4alt.txt	12	10	13	16	4	3	p(6,0);p(7,0);p(8,0);p(9,0);p(8,0);p(7,0);p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);	6911;464;448;5688;471;440;609;591;456;689;592;752;663;945;480;
S10324374	14/September/2018	hard/tradeoff5alt.txt	13	11	14	18	2	1	p(5,0);p(4,0);p(3,0);p(2,0);p(2,1);p(2,2);p(1,2);p(0,2);p(0,3);p(0,4);p(0,5);p(1,5);p(2,5);p(3,5);p(4,5);p(4,4);p(4,3);p(5,3);	6130;528;855;577;695;729;415;529;528;416;374;457;432;544;993;456;420;
S10324374	14/September/2018	hard/tradeoff7alt.txt	14	6	6	8	3	3	p(3,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(3,4);p(3,5);	41021;976;679;600;696;920;1769;
S10324374	14/September/2018	hard/museum.txt	15	14	16	19	5	3	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);p(6,0);	2742;503;1288;513;539;516;568;648;1096;480;481;438;457;568;599;1209;792;376;
S10581668	11/September/2018	easy/easy_cost36.txt	4	17	17	19	2	2	p(4,3);p(3,3);p(2,3);p(2,2);p(1,2);p(2,2);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(5,1);p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(8,2);p(8,3);	2660;558;534;584;736;379;370;926;485;433;430;507;370;358;392;387;653;582;
