subject	date	video	rating	time	trialNo
S10324374	14/September/2018	courtSUL.mp4	2	11976	4
S10324374	14/September/2018	tworoomsSL.mp4	4	10709	5
S10324374	14/September/2018	gardenSL.mp4	3	8979	7
S10324374	14/September/2018	extremeOL10.mp4	4	9742	8
S10324374	14/September/2018	easyrw49SL.mp4	2	11793	9
S10324374	14/September/2018	whichway4SUL.mp4	1	11068	10
S10324374	14/September/2018	gardenOL.mp4	5	9337	11
S10324374	14/September/2018	extremeSUL23.mp4	2	21191	12
S10324374	14/September/2018	easyrw49OUL.mp4	4	12540	13
S10324374	14/September/2018	courtOL.mp4	4	7783	14
S10324374	14/September/2018	extremeOUL23.mp4	4	15376	15
S10324374	14/September/2018	tworoomsSUL.mp4	1	11240	16
S10324374	14/September/2018	gardenSUL.mp4	1	13461	17
S10324374	14/September/2018	easyrw49OL.mp4	4	9074	18
S10324374	14/September/2018	tworoomsOUL.mp4	3	10699	19
S10324374	14/September/2018	whichway2SL.mp4	4	8318	20
S10324374	14/September/2018	whichway1OL.mp4	4	8305	21
S10324374	14/September/2018	easyrw49SUL.mp4	2	11345	22
S10324374	14/September/2018	tworoomsOL.mp4	4	8210	23
S10324374	14/September/2018	extremeSL10.mp4	2	8484	24
S10324374	14/September/2018	practice3.mp4	1	13420	25
S10324374	14/September/2018	courtSL.mp4	3	9799	26
S10324374	14/September/2018	gardenOUL.mp4	4	12355	27
S10324374	14/September/2018	whichway3OUL.mp4	4	9458	28
S10324374	14/September/2018	courtOUL.mp4	4	10807	32
S10581668	11/September/2018	tworoomsOL.mp4	4	7292	4
S10581668	11/September/2018	whichway2SL.mp4	3	7583	5
S10581668	11/September/2018	gardenOUL.mp4	1	13312	6
S10581668	11/September/2018	courtOUL.mp4	5	10679	7
S10581668	11/September/2018	whichway1OL.mp4	4	7328	9
S10581668	11/September/2018	easyrw49SL.mp4	4	7483	10
S10581668	11/September/2018	tworoomsSUL.mp4	2	10104	11
S10581668	11/September/2018	easyrw49SUL.mp4	3	12333	12
S10581668	11/September/2018	extremeOL10.mp4	4	7997	13
S10581668	11/September/2018	whichway4SUL.mp4	1	10279	14
S10581668	11/September/2018	gardenSUL.mp4	1	12788	15
S10581668	11/September/2018	easyrw49OUL.mp4	3	11044	16
S10581668	11/September/2018	courtOL.mp4	4	7856	17
S10581668	11/September/2018	courtSL.mp4	4	6675	18
S10581668	11/September/2018	tworoomsSL.mp4	4	8217	19
S10581668	11/September/2018	extremeSUL23.mp4	3	16314	20
S10581668	11/September/2018	gardenSL.mp4	1	8538	21
S10581668	11/September/2018	practice3.mp4	1	14058	22
S10581668	11/September/2018	extremeSL10.mp4	1	9741	24
S10581668	11/September/2018	courtSUL.mp4	1	10042	25
S10581668	11/September/2018	easyrw49OL.mp4	2	8475	26
S10581668	11/September/2018	tworoomsOUL.mp4	4	10261	28
S10581668	11/September/2018	gardenOL.mp4	4	6988	30
S10581668	11/September/2018	extremeOUL23.mp4	5	15210	31
S10581668	11/September/2018	whichway3OUL.mp4	4	10749	32
S12962124	14/September/2018	practice3.mp4	1	13504	5
S12962124	14/September/2018	easyrw49SL.mp4	5	9279	6
S12962124	14/September/2018	extremeSUL23.mp4	5	15273	7
S12962124	14/September/2018	extremeSL10.mp4	5	10773	8
S12962124	14/September/2018	whichway3OUL.mp4	5	10182	9
S12962124	14/September/2018	tworoomsOL.mp4	5	7305	10
S12962124	14/September/2018	gardenOUL.mp4	5	13036	11
S12962124	14/September/2018	whichway1OL.mp4	5	7436	13
S12962124	14/September/2018	gardenOL.mp4	5	7196	14
S12962124	14/September/2018	easyrw49OL.mp4	5	6569	15
S12962124	14/September/2018	gardenSL.mp4	4	16771	16
S12962124	14/September/2018	tworoomsSL.mp4	5	6746	17
S12962124	14/September/2018	courtOL.mp4	5	8060	18
S12962124	14/September/2018	whichway2SL.mp4	4	7809	19
S12962124	14/September/2018	easyrw49SUL.mp4	4	9413	20
S12962124	14/September/2018	courtSL.mp4	5	12374	21
S12962124	14/September/2018	whichway4SUL.mp4	3	10710	22
S12962124	14/September/2018	extremeOUL23.mp4	5	13600	24
S12962124	14/September/2018	courtOUL.mp4	5	9332	25
S12962124	14/September/2018	courtSUL.mp4	3	9874	26
S12962124	14/September/2018	extremeOL10.mp4	5	8384	27
S12962124	14/September/2018	tworoomsOUL.mp4	5	9410	28
S12962124	14/September/2018	easyrw49OUL.mp4	5	24655	30
S12962124	14/September/2018	tworoomsSUL.mp4	2	10187	31
S12962124	14/September/2018	gardenSUL.mp4	1	12667	32
S13479505	11/September/2018	gardenSL.mp4	5	6952	4
S13479505	11/September/2018	tworoomsOL.mp4	5	7478	5
S13479505	11/September/2018	tworoomsSUL.mp4	3	12061	6
S13479505	11/September/2018	gardenOL.mp4	5	9631	7
S13479505	11/September/2018	gardenSUL.mp4	2	16028	8
S13479505	11/September/2018	easyrw49OUL.mp4	5	14069	9
S13479505	11/September/2018	extremeSL10.mp4	5	10586	10
S13479505	11/September/2018	easyrw49SUL.mp4	5	12311	11
S13479505	11/September/2018	practice3.mp4	2	15535	12
S13479505	11/September/2018	easyrw49OL.mp4	5	8301	13
S13479505	11/September/2018	courtSL.mp4	4	9503	14
S13479505	11/September/2018	extremeOL10.mp4	5	8813	15
S13479505	11/September/2018	gardenOUL.mp4	5	22370	16
S13479505	11/September/2018	whichway4SUL.mp4	3	11532	17
S13479505	11/September/2018	whichway3OUL.mp4	4	41581	18
S13479505	11/September/2018	extremeSUL23.mp4	5	17788	19
S13479505	11/September/2018	courtSUL.mp4	4	9940	22
S13479505	11/September/2018	tworoomsSL.mp4	5	7756	23
S13479505	11/September/2018	courtOUL.mp4	5	9962	24
S13479505	11/September/2018	courtOL.mp4	5	7482	25
S13479505	11/September/2018	tworoomsOUL.mp4	5	12766	26
S13479505	11/September/2018	easyrw49SL.mp4	5	7761	29
S13479505	11/September/2018	whichway1OL.mp4	5	7658	30
S13479505	11/September/2018	whichway2SL.mp4	5	8429	31
S13479505	11/September/2018	extremeOUL23.mp4	5	17821	32
S13916827	14/September/2018	courtOUL.mp4	4	12584	4
S13916827	14/September/2018	whichway4SUL.mp4	3	11941	6
S13916827	14/September/2018	gardenOL.mp4	3	14124	7
