subject	date	maze	trialNo	optimal_steps	steps_in_tree	steps	decisions	opt_decisions	path	times
S722906	26/October/2016	lab	15	21	26	29	9	5	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);p(0,3);p(0,4);	1106;434;575;730;1172;386;459;452;504;403;386;719;157;532;282;325;475;654;1087;424;139;497;380;310;777;436;623;272;
S723916	21/October/2016	museum	4	28	32	35	10	7	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(1,5);p(0,5);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);p(6,0);	3498;504;750;1940;493;1760;408;376;1697;310;937;314;510;328;400;316;396;352;344;406;530;1168;272;304;1305;319;343;393;439;561;461;315;664;320;
S723916	21/October/2016	garden	5	12	15	18	3	2	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,5);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);p(7,0);	2791;391;313;552;1224;400;416;760;392;424;1248;320;304;352;344;375;500;
S723916	21/October/2016	library	6	9	12	16	2	1	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(3,2);p(4,2);p(4,3);p(5,3);p(6,3);p(6,4);p(6,5);p(6,4);p(7,4);	1243;310;360;456;312;480;409;1159;297;423;352;1752;340;772;321;
S723916	21/October/2016	courtyard	7	8	9	11	3	2	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);p(2,2);	2826;1048;1144;328;473;407;616;599;449;384;
S723916	21/October/2016	ikea	8	16	16	21	4	4	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);p(1,7);	1575;327;300;1075;320;328;1417;351;1483;285;413;355;921;335;488;393;520;295;440;328;
S723916	21/October/2016	cubicles	9	10	11	15	5	4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);	1858;344;612;461;886;424;344;792;384;344;1137;913;366;432;
S723916	21/October/2016	labyrinth3	10	7	8	11	1	0	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(0,3);p(0,2);	1386;280;431;432;472;408;1296;496;680;336;
S723916	21/October/2016	lab	11	5	6	9	1	0	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(1,2);p(0,2);p(0,3);p(0,4);	25375;471;424;416;2056;321;812;323;
S723916	21/October/2016	tworooms	12	8	8	12	1	1	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(0,3);p(0,2);p(1,2);	1020;368;566;227;543;401;384;775;328;592;304;
